url,file_path,include,found_links_count,definite_links,probable_links
https://medicine.yale.edu/diagnosticradiology/facintranet/policies,data/crawled_data/markdown_files/policy_depth_0_facintranet_policies.md,True,26,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses"", ""https://medicine.yale.edu/diagnosticradiology/quality-safety/"", ""https://medicine.yale.edu/myysm/policies/"", ""https://files-profile.medicine.yale.edu/documents/cba873d8-f1ac-4003-a2fb-9b9745988403""]","[""https://medicine.yale.edu/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet"", ""https://medicine.yale.edu/ysm"", ""https://medicine.yale.edu/ysm/about/"", ""https://medicine.yale.edu/ysm/faculty/"", ""https://medicine.yale.edu/ysm/myysm/"", ""https://medicine.yale.edu/ysm/edu/"", ""https://medicine.yale.edu/ysm/edu/residency-fellowships/"", ""https://medicine.yale.edu/ysm/research/"", ""https://medicine.yale.edu/ysm/alumni/"", ""https://medicine.yale.edu/intranet"", ""https://medicine.yale.edu/accessibility/"", ""https://medicine.yale.edu/myysm/personal-resources/diversity-equity-inclusion/"", ""https://medicine.yale.edu/myysm/personal-resources/safety-security-resources/"", ""https://medicine.yale.edu/ysm/privacy"", ""https://yale.edu"", ""https://medicine.yale.edu/maps/"", ""https://medicine.yale.edu/calendar/"", ""/bioimaging/contact/""]"
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines,data/crawled_data/markdown_files/policy_depth_1_policies_guidelines.md,True,2,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/""]",[]
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast,data/crawled_data/markdown_files/policy_depth_2_guidelines_contrast.md,True,17,"[""https://files-profile.medicine.yale.edu/documents/6e6c8a17-d066-48e2-b62f-1ccfd56feca5"", ""https://files-profile.medicine.yale.edu/documents/09c71c44-be7e-494d-813b-441704ea912d"", ""/diagnosticradiology/facintranet/policies/guidelines/premed/"", ""/diagnosticradiology/facintranet/policies/guidelines/oral/"", ""/diagnosticradiology/facintranet/policies/guidelines/kidney/"", ""/diagnosticradiology/facintranet/policies/guidelines/nephropathy%20/"", ""/diagnosticradiology/facintranet/policies/guidelines/glucophage/"", ""/diagnosticradiology/patientcare/policies/gadolinium/"", ""/diagnosticradiology/patientcare/policies/powerinjection/"", ""/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/"", ""/diagnosticradiology/patientcare/policies/myastheniagravis/"", ""/diagnosticradiology/patientcare/policies/intraosseousneedlecontrastinjection/"", ""/diagnosticradiology/patientcare/policies/pregnantpatientpolicy/"", ""/diagnosticradiology/patientcare/policies/oralcontrastct-ed/"", ""/diagnosticradiology/patientcare/policies/suspectpeinpregnancypolicy/"", ""/diagnosticradiology/patientcare/policies/insulinpumpctpolicy/"", ""/diagnosticradiology/patientcare/policies/critguidelines/""]",[]
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi,data/crawled_data/markdown_files/policy_depth_1_policies_coi.md,True,2,"[""https://your.yale.edu/research-support/conflict-interest-office/policies-procedures-guidance"", ""https://provost.yale.edu/""]",[]
https://your.yale.edu/research-support/conflict-interest-office/policies-procedures-guidance,data/crawled_data/markdown_files/full_depth_2_conflict-interest-office_policies-procedures-guidance.md,False,0,[],[]
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses,data/crawled_data/markdown_files/policy_depth_1_policies_grandroundsexpenses.md,True,5,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses""]",[]
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway,data/crawled_data/markdown_files/policy_depth_1_policies_timeaway.md,True,2,"[""https://medicine.yale.edu/oapd/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/SOPs/SOP_Parental_Leave_Oct_2018_332434_284_43076_v4.pdf""]",[]
https://medicine.yale.edu/diagnosticradiology/patientcare/policies/,data/crawled_data/markdown_files/policy_depth_2_patientcare_policies.md,True,22,"[""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/premedication"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/oralcontrast"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/singlekidney"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/gadolinium"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/gonadal"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/powerinjection"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/breastfeeding"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/myastheniagravis"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/intraosseousneedlecontrastinjection"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/pregnantpatientpolicy"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/oralcontrastct-ed"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/suspectpeinpregnancypolicy"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/insulinpumpctpolicy"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/critguidelines"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/changeorderbtn"", ""https://files-profile.medicine.yale.edu/documents/b7204764-4f92-41eb-bcf2-5e8b4f5127bc"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/oral/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/kidney/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/nephropathy%20/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/""]",[]
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/,data/crawled_data/markdown_files/policy_depth_3_guidelines_breastfeeding.md,True,3,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast""]",[]
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/,data/crawled_data/markdown_files/policy_depth_3_guidelines_glucophage.md,True,4,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/""]",[]
